Date,Level,Consecutive Losses,Drawdown %,Pause Candles
2012-01-16 16:01:00,3,1,-47.3,30
2012-04-21 16:01:00,3,0,-48.17,30
2012-06-10 20:01:00,3,0,-45.97,30
2012-07-15 20:01:00,3,0,-54.54,30
2012-07-30 04:01:00,3,0,-54.57,30
2012-08-09 20:01:00,3,0,-50.71,30
2012-09-21 04:01:00,3,0,-53.42,30
2012-10-05 08:01:00,3,0,-56.36,30
2012-11-27 16:01:00,3,0,-52.17,30
2012-12-13 08:01:00,3,0,-45.2,30
2013-01-14 00:01:00,3,0,-41.31,30
2013-01-23 08:01:00,1,0,-23.43,3
2013-01-24 20:01:00,2,1,-36.32,12
2013-08-08 16:01:00,1,1,-15.71,3
2013-09-20 08:01:00,1,2,-17.37,3
2013-10-02 20:01:00,3,3,-51.99,30
2013-10-17 00:01:00,2,0,-34.62,12
2013-10-30 20:01:00,2,0,-30.76,12
2014-01-27 20:01:00,2,2,-26.25,12
2014-02-05 20:01:00,3,4,-32.51,30
2014-06-01 20:01:00,2,0,-26.67,12
2014-07-04 12:01:00,1,0,-23.71,3
2014-07-10 08:01:00,2,1,-33.97,12
2014-07-16 12:01:00,3,2,-40.24,30
2015-03-05 00:01:00,3,0,-48.27,30
2015-07-01 12:01:00,3,0,-57.28,30
2015-07-13 08:01:00,3,0,-52.32,30
2015-07-30 12:01:00,3,0,-51.7,30
2015-10-17 20:01:00,2,0,-39.25,12
2015-10-26 00:01:00,1,0,-24.69,3
2015-12-26 12:01:00,1,1,-16.8,3
2016-01-13 00:01:00,1,1,-21.23,3
2016-02-21 16:01:00,1,0,-15.92,3
2016-02-23 12:01:00,2,1,-26.8,12
2016-03-18 16:01:00,3,4,-38.84,30
2016-04-27 20:01:00,2,0,-28.64,12
2016-05-19 12:01:00,3,2,-41.08,30
2016-05-29 04:01:00,1,0,-24.11,3
2016-07-07 08:01:00,1,1,-21.68,3
2016-07-22 12:01:00,2,2,-25.68,12
2016-07-31 04:01:00,3,4,-40.87,30
2016-11-03 16:01:00,1,0,-24.64,3
2016-11-10 08:01:00,1,0,-24.21,3
2016-11-13 04:01:00,2,1,-33.48,12
2016-11-20 16:01:00,2,0,-29.15,12
2017-03-16 16:01:00,1,2,-21.43,3
2017-06-12 12:01:00,2,2,-26.59,12
2017-07-07 16:01:00,3,4,-40.87,30
2018-05-11 00:01:00,1,2,-19.6,3
2018-07-21 04:01:00,2,3,-26.97,12
