Entry Date,Exit Date,Entry Price,Exit Price,Net Return %,Net Profit €,Post-Trade Equity,Protection Level
2012-01-08 08:01:00,2012-01-09 12:01:00,6.81,6.6,-3.04,-108.43,887.02,0
2012-01-10 04:01:00,2012-01-11 12:01:00,6.31,6.9,9.41,290.41,1173.08,0
2012-01-16 04:01:00,2012-01-16 12:01:00,7.16,6.2,-13.37,-551.54,618.25,0
2012-03-15 12:01:00,2012-03-18 16:01:00,5.32,5.24,-1.42,-31.96,580.89,3
2012-04-18 00:01:00,2012-04-21 12:01:00,5.11,5.19,1.66,32.59,607.99,3
2012-05-01 16:01:00,2012-05-01 20:01:00,4.97,4.97,-0.1,-3.4,603.1,3
2012-05-02 04:01:00,2012-05-10 04:01:00,5.14,4.99,-2.83,-60.92,530.77,3
2012-05-19 12:01:00,2012-06-10 16:01:00,5.08,5.43,6.99,128.81,633.76,3
2012-06-15 20:01:00,2012-06-16 00:01:00,6.43,6.19,-3.68,-82.93,549.27,3
2012-06-23 16:01:00,2012-06-25 08:01:00,6.37,6.2,-2.61,-51.39,494.81,3
2012-06-26 16:01:00,2012-07-03 20:01:00,6.45,6.44,-0.1,-2.77,483.55,3
2012-07-12 12:01:00,2012-07-15 16:01:00,7.17,7.4,3.25,53.97,533.29,3
2012-07-25 12:01:00,2012-07-30 00:01:00,8.51,8.54,0.37,5.79,532.92,3
2012-08-07 12:01:00,2012-08-09 16:01:00,10.8,11.09,2.68,48.83,578.2,3
2012-08-15 12:01:00,2012-08-17 16:01:00,12.55,12.02,-4.24,-87.07,487.28,3
2012-09-11 00:01:00,2012-09-11 16:01:00,10.71,10.64,-0.66,-12.28,473.3,3
2012-09-15 04:01:00,2012-09-21 00:01:00,11.64,12.21,4.88,79.88,546.39,3
2012-09-26 04:01:00,2012-09-26 08:01:00,11.91,11.53,-3.21,-62.46,482.59,3
2012-09-29 16:01:00,2012-10-05 04:01:00,12.23,12.5,2.19,35.96,511.97,3
2012-11-17 20:01:00,2012-11-27 12:01:00,11.58,11.98,3.44,60.57,561.07,3
2012-12-03 12:01:00,2012-12-13 04:01:00,12.48,13.09,4.87,94.4,642.9,3
2013-01-01 00:01:00,2013-01-13 20:01:00,13.25,13.64,2.92,64.31,688.54,3
2013-01-19 00:01:00,2013-01-23 04:01:00,15.49,16.89,9.07,217.13,898.19,3
2013-01-24 04:01:00,2013-01-24 16:01:00,18.42,17.56,-4.66,-148.4,746.97,1
